t,compare_time_ms,diff_count,throughput_ops
1713600100.0,25.4,150,3937
1713600100.2,26.1,155,3831
1713600100.4,24.8,148,4032
1713600100.6,27.3,162,3663
1713600100.8,25.9,153,3861
1713600101.0,28.5,170,3508
1713600101.2,26.7,158,3745
1713600101.4,25.2,151,3968
1713600101.6,29.1,175,3436
1713600101.8,27.8,165,3597
1713600102.0,26.3,156,3802
1713600102.2,24.5,145,4081
1713600102.4,25.7,152,3891
1713600102.6,28.0,168,3571
1713600102.8,26.9,160,3717
1713600103.0,25.0,149,4000
1713600103.2,27.5,163,3636
1713600103.4,26.0,154,3846
1713600103.6,24.2,142,4132
1713600103.8,25.5,150,3921
